repo,stars
https://github.com/7sDream/fontfor,176
https://github.com/64bit/commandOK,44
https://github.com/alexheretic/vimg,27
https://github.com/alxrw/parm,141
https://github.com/ananthakumaran/webify,432
https://github.com/andrewmd5/dawn,455
https://github.com/bahdotsh/giff,272
https://github.com/bahdotsh/mdterm,336
https://github.com/blacknon/lssh,326
https://github.com/brevity1swos/rgx,234
https://github.com/canmanalp/cpr,8
https://github.com/Cateds/opencode-stats,62
https://github.com/craigf-svg/envlens,42
https://github.com/epilande/repos,39
https://github.com/flozz/yoga-image-optimizer,160
https://github.com/FrancescElies/virgo,0
https://github.com/kl/sub-batch,37
https://github.com/lazynop/lazyenv,60
https://github.com/linkwithjoydeep/oken,35
https://github.com/M-Igashi/mp3rgain,102
https://github.com/marcusbuffett/pipe-rename,434
https://github.com/mikeleppane/envx,229
https://github.com/mtkennerly/madamiru,112
https://github.com/muandane/goji,78
https://github.com/nickgerace/gfold,400
https://github.com/nnnkkk7/lazyactions,100
https://github.com/reemus-dev/gitnr,236
https://github.com/rockydd/ascii_moon,92
https://github.com/sophice/ahk-keyboard-locker,45
https://github.com/tareqimbasher/cargo-seek,197
https://github.com/Tentacule/PgsToSrt,114
https://github.com/thekarel/rum,14
https://github.com/toiletbril/dedoc,132
https://github.com/upscayl/upscayl-ncnn,459
https://github.com/Wowu/pro,45
https://github.com/RaphGL/Tuckr,485
https://github.com/vaibhav-mattoo/cxt,53
https://github.com/chojs23/ec,291
https://github.com/boyter/hashit,111
https://github.com/agent-sh/agnix,400
https://github.com/kbrdn1/gwm-cli,133
https://github.com/tinesoft/spectatui,74
https://github.com/DanielCardonaRojas/codemark,123
https://github.com/mrusme/reader,412
https://github.com/rcieri/glab-tui,217
