"name","licenseId","isOsiApproved","isFsfLibre","reference"
"BSD Zero Clause License","0BSD","Y","","https://spdx.org/licenses/0BSD.html"
"3D Slicer License v1.0","3D-Slicer-1.0","","","https://spdx.org/licenses/3D-Slicer-1.0.html"
"Attribution Assurance License","AAL","Y","","https://spdx.org/licenses/AAL.html"
"Abstyles License","Abstyles","","","https://spdx.org/licenses/Abstyles.html"
"AdaCore Doc License","AdaCore-doc","","","https://spdx.org/licenses/AdaCore-doc.html"
"Adobe Systems Incorporated Source Code License Agreement","Adobe-2006","","","https://spdx.org/licenses/Adobe-2006.html"
"Adobe Display PostScript License","Adobe-Display-PostScript","","","https://spdx.org/licenses/Adobe-Display-PostScript.html"
"Adobe Glyph List License","Adobe-Glyph","","","https://spdx.org/licenses/Adobe-Glyph.html"
"Adobe Utopia Font License","Adobe-Utopia","","","https://spdx.org/licenses/Adobe-Utopia.html"
"Amazon Digital Services License","ADSL","","","https://spdx.org/licenses/ADSL.html"
"Advanced Cryptics Dictionary License","Advanced-Cryptics-Dictionary","","","https://spdx.org/licenses/Advanced-Cryptics-Dictionary.html"
"Academic Free License v1.1","AFL-1.1","Y","Y","https://spdx.org/licenses/AFL-1.1.html"
"Academic Free License v1.2","AFL-1.2","Y","Y","https://spdx.org/licenses/AFL-1.2.html"
"Academic Free License v2.0","AFL-2.0","Y","Y","https://spdx.org/licenses/AFL-2.0.html"
"Academic Free License v2.1","AFL-2.1","Y","Y","https://spdx.org/licenses/AFL-2.1.html"
"Academic Free License v3.0","AFL-3.0","Y","Y","https://spdx.org/licenses/AFL-3.0.html"
"Afmparse License","Afmparse","","","https://spdx.org/licenses/Afmparse.html"
"Affero General Public License v1.0","AGPL-1.0","","Y","https://spdx.org/licenses/AGPL-1.0.html"
"Affero General Public License v1.0 only","AGPL-1.0-only","","","https://spdx.org/licenses/AGPL-1.0-only.html"
"Affero General Public License v1.0 or later","AGPL-1.0-or-later","","","https://spdx.org/licenses/AGPL-1.0-or-later.html"
"GNU Affero General Public License v3.0","AGPL-3.0","Y","Y","https://spdx.org/licenses/AGPL-3.0.html"
"GNU Affero General Public License v3.0 only","AGPL-3.0-only","Y","Y","https://spdx.org/licenses/AGPL-3.0-only.html"
"GNU Affero General Public License v3.0 or later","AGPL-3.0-or-later","Y","Y","https://spdx.org/licenses/AGPL-3.0-or-later.html"
"Aladdin Free Public License","Aladdin","","","https://spdx.org/licenses/Aladdin.html"
"ALGLIB Documentation License","ALGLIB-Documentation","Y","","https://spdx.org/licenses/ALGLIB-Documentation.html"
"AMD newlib License","AMD-newlib","","","https://spdx.org/licenses/AMD-newlib.html"
"AMD's plpa_map.c License","AMDPLPA","","","https://spdx.org/licenses/AMDPLPA.html"
"Apple MIT License","AML","","","https://spdx.org/licenses/AML.html"
"AML glslang variant License","AML-glslang","","","https://spdx.org/licenses/AML-glslang.html"
"Academy of Motion Picture Arts and Sciences BSD","AMPAS","","","https://spdx.org/licenses/AMPAS.html"
"ANTLR Software Rights Notice","ANTLR-PD","","","https://spdx.org/licenses/ANTLR-PD.html"
"ANTLR Software Rights Notice with license fallback","ANTLR-PD-fallback","","","https://spdx.org/licenses/ANTLR-PD-fallback.html"
"Any OSI License","any-OSI","","","https://spdx.org/licenses/any-OSI.html"
"Any OSI License - Perl Modules","any-OSI-perl-modules","","","https://spdx.org/licenses/any-OSI-perl-modules.html"
"Apache License 1.0","Apache-1.0","","Y","https://spdx.org/licenses/Apache-1.0.html"
"Apache License 1.1","Apache-1.1","Y","Y","https://spdx.org/licenses/Apache-1.1.html"
"Apache License 2.0","Apache-2.0","Y","Y","https://spdx.org/licenses/Apache-2.0.html"
"Adobe Postscript AFM License","APAFML","","","https://spdx.org/licenses/APAFML.html"
"Adaptive Public License 1.0","APL-1.0","Y","","https://spdx.org/licenses/APL-1.0.html"
"App::s2p License","App-s2p","","","https://spdx.org/licenses/App-s2p.html"
"Apple Public Source License 1.0","APSL-1.0","Y","","https://spdx.org/licenses/APSL-1.0.html"
"Apple Public Source License 1.1","APSL-1.1","Y","","https://spdx.org/licenses/APSL-1.1.html"
"Apple Public Source License 1.2","APSL-1.2","Y","","https://spdx.org/licenses/APSL-1.2.html"
"Apple Public Source License 2.0","APSL-2.0","Y","Y","https://spdx.org/licenses/APSL-2.0.html"
"Arphic Public License","Arphic-1999","","","https://spdx.org/licenses/Arphic-1999.html"
"Artistic License 1.0","Artistic-1.0","Y","","https://spdx.org/licenses/Artistic-1.0.html"
"Artistic License 1.0 w/clause 8","Artistic-1.0-cl8","Y","","https://spdx.org/licenses/Artistic-1.0-cl8.html"
"Artistic License 1.0 (Perl)","Artistic-1.0-Perl","Y","","https://spdx.org/licenses/Artistic-1.0-Perl.html"
"Artistic License 2.0","Artistic-2.0","Y","Y","https://spdx.org/licenses/Artistic-2.0.html"
